Statistical profiling result from isolate-0x292e220-v8.log, (177218 ticks, 20473 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     28    0.0%    0.0%  LazyCompile: *exports.encode /home/substack/projects/osm-p2p/node_modules/hyperlog/lib/encode.js:1:89
     27    0.0%    0.0%  Handler: v {22}
     26    0.0%    0.0%  Stub: LoadFieldStub {6}
     26    0.0%    0.0%  Stub: CallConstructStub
     26    0.0%    0.0%  Stub: CallApiAccessorStub {2}
     26    0.0%    0.0%  LazyCompile: ~DeferredLevelDOWN.(anonymous function) /home/substack/projects/osm-p2p/node_modules/deferred-leveldown/deferred-leveldown.js:38:51
     26    0.0%    0.0%  LazyCompile: *toString native messages.js:641:23
     26    0.0%    0.0%  LazyCompile: *ondata /home/substack/projects/osm-p2p-server/node_modules/readable-stream/lib/_stream_readable.js:539:18
     26    0.0%    0.0%  Handler: v {3}
     26    0.0%    0.0%  Handler: indexOf {1}
     26    0.0%    0.0%  Handler: Error
     25    0.0%    0.0%  Stub: LoadFieldStub {4}
     25    0.0%    0.0%  Stub: LoadConstantStub {5}
     25    0.0%    0.0%  Stub: FastCloneShallowObjectStub
     25    0.0%    0.0%  Stub: CompareICStub {9}
     25    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p-server/lib/replace_ids.js:36:17
     24    0.0%    0.0%  LazyCompile: ~parseValue /home/substack/projects/osm-p2p-server/node_modules/big-integer/BigInteger.js:1165:24
     24    0.0%    0.0%  Handler: length {1}
     24    0.0%    0.0%  Builtin: ConstructFunction
     23    0.0%    0.0%  Stub: StoreFieldStub {1}
     23    0.0%    0.0%  Stub: LoadFieldStub {13}
     23    0.0%    0.0%  Handler: An IC handler from the snapshot {9}
     23    0.0%    0.0%  Handler: An IC handler from the snapshot {5}
     23    0.0%    0.0%  Handler: An IC handler from the snapshot {16}
     22    0.0%    0.0%  Stub: LoadFieldStub {7}
     22    0.0%    0.0%  LazyCompile: *isFinite native v8natives.js:32:24
     22    0.0%    0.0%  LazyCompile: *Hash crypto.js:52:14
     22    0.0%    0.0%  Handler: v {36}
     22    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash f811b12)
